common_name,scientific_name,family
Fynbos Buttonquail,Turnix hottentottus,Turnicidae (Buttonquails)
Crab-plover,Dromas ardeola,Dromadidae (Crab-plover)
Double-banded Courser,Smutsornis africanus,"Glareolidae (Coursers, Pratincoles)"
Three-banded Courser,Rhinoptilus cinctus,"Glareolidae (Coursers, Pratincoles)"
Bronze-winged Courser,Rhinoptilus chalcopterus,"Glareolidae (Coursers, Pratincoles)"
Burchell's Courser,Cursorius rufus,"Glareolidae (Coursers, Pratincoles)"
Temminck's Courser,Cursorius temminckii,"Glareolidae (Coursers, Pratincoles)"
Collared Pratincole,Glareola pratincola,"Glareolidae (Coursers, Pratincoles)"
Black-winged Pratincole,Glareola nordmanni,"Glareolidae (Coursers, Pratincoles)"
Brown Noddy,Anous stolidus,"Laridae (Gulls, Terns, Skimmers)"
Sabine's Gull,Xema sabini,"Laridae (Gulls, Terns, Skimmers)"
Hartlaub's Gull,Larus hartlaubii,"Laridae (Gulls, Terns, Skimmers)"
Grey-headed Gull,Larus cirrocephalus,"Laridae (Gulls, Terns, Skimmers)"
Kelp Gull,Larus dominicanus,"Laridae (Gulls, Terns, Skimmers)"
Lesser Black-backed Gull,Larus fuscus,"Laridae (Gulls, Terns, Skimmers)"
Sooty Tern,Onychoprion fuscatus,"Laridae (Gulls, Terns, Skimmers)"
Bridled Tern,Onychoprion anaethetus,"Laridae (Gulls, Terns, Skimmers)"
Little Tern,Sternula albifrons,"Laridae (Gulls, Terns, Skimmers)"
Damara Tern,Sternula balaenarum,"Laridae (Gulls, Terns, Skimmers)"
Caspian Tern,Hydroprogne caspia,"Laridae (Gulls, Terns, Skimmers)"
Whiskered Tern,Chlidonias hybrida,"Laridae (Gulls, Terns, Skimmers)"
White-winged Tern,Chlidonias leucopterus,"Laridae (Gulls, Terns, Skimmers)"
Black Tern,Chlidonias niger,"Laridae (Gulls, Terns, Skimmers)"
Roseate Tern,Sterna dougallii,"Laridae (Gulls, Terns, Skimmers)"
Common Tern,Sterna hirundo,"Laridae (Gulls, Terns, Skimmers)"
Arctic Tern,Sterna paradisaea,"Laridae (Gulls, Terns, Skimmers)"
Antarctic Tern,Sterna vittata,"Laridae (Gulls, Terns, Skimmers)"
Kerguelen Tern,Sterna virgata,"Laridae (Gulls, Terns, Skimmers)"
Lesser Crested Tern,Thalasseus bengalensis,"Laridae (Gulls, Terns, Skimmers)"
Sandwich Tern,Thalasseus sandvicensis,"Laridae (Gulls, Terns, Skimmers)"
