common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Little Shearwater,Puffinus assimilis,Kleinpylstormvoël,,Shearwaters,Medium,Marine,"['Grey', 'Brown', 'White']"
Little Sparrowhawk,Accipiter minullus,Kleinsperwer,https://cdn.sabirds.app/little-sparrowhawk/1_medium.webp,Hawks,Medium,Forest,"['Grey', 'White', 'Orange']"
Little Stint,Calidris minuta,Kleinstrandloper,https://cdn.sabirds.app/little-stint/1_medium.webp,Sandpipers,Small,Grassland,"['Brown', 'White']"
Little Swift,Apus affinis,Kleinwindswael,https://cdn.sabirds.app/little-swift/1_medium.webp,Swifts,Small,Rocky,"['Black', 'White']"
Little Tern,Sternula albifrons,Kleinsterretjie,https://cdn.sabirds.app/little-tern/1_medium.webp,Terns,Medium,Coastal,"['White', 'Yellow', 'Black']"
Livingstone's Flycatcher,Erythrocercus livingstonei,Rooistertvlieëvanger,https://cdn.sabirds.app/livingstones-flycatcher/1_medium.webp,Flycatchers,Tiny,Fynbos,"['Brown', 'Orange', 'White']"
Livingstone's Turaco,Tauraco livingstonii,Mosambiekloerie,https://cdn.sabirds.app/livingstones-turaco/1_medium.webp,Turacos,Medium,Forest,"['Green', 'Red', 'White']"
Lizard Buzzard,Kaupifalco monogrammicus,Akkedisvalk,https://cdn.sabirds.app/lizard-buzzard/1_medium.webp,Buzzards,Large,Woodland,"['Grey', 'White', 'Black']"
Long-billed Crombec,Sylvietta rufescens,Bosveldstompstert,https://cdn.sabirds.app/long-billed-crombec/1_medium.webp,Crombecs,Tiny,Fynbos,"['Grey', 'Buff', 'Green']"
Long-crested Eagle,Lophaetus occipitalis,Langkuifarend,https://cdn.sabirds.app/long-crested-eagle/1_medium.webp,Eagles,Very Large,Forest,"['Black', 'White']"
Long-tailed Jaeger,Stercorarius longicaudus,Langstertroofmeeu,https://cdn.sabirds.app/long-tailed-jaeger/1_medium.webp,Skuas,Large,Marine,"['Brown', 'White', 'Grey']"
